Sort By,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sort By,RPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smaller = Better?,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tier,RSC ID,Name,Team,Conference,SBV,IDR,RPV,GP,W,L,Win%,MVPs,Pts,Goals,Assists,Saves,Shots,Shot %,PPG,GPG,APG,SvPG,ShPG,Cycles,Hat Tricks,Playmakers,Saviors,DI,DT
Prospect,RSC002796,Carno,Undead,N/A,32.6,26.2,29.4,35,11,24,0.314,6,9657,20,12,38,66,30.30%,275.91,0.57,0.34,1.09,1.89,4,1,0,2,28,31
Prospect,RSC006369,nate,Emus,N/A,21.9,34.8,28.3,20,10,10,0.500,3,5833,12,9,24,37,32.43%,291.65,0.60,0.45,1.20,1.85,4,0,0,2,35,25
Prospect,RSC007102,tepochtli_13,Poppy,N/A,20.3,34.4,27.3,29,14,15,0.483,1,7974,16,14,31,64,25.00%,274.97,0.55,0.48,1.07,2.21,2,0,0,1,28,20
Prospect,RSC005561,Angelofthebronx,Earth,N/A,19.1,32.2,25.6,13,4,9,0.308,1,3316,8,7,7,24,33.33%,255.08,0.62,0.54,0.54,1.85,3,0,0,0,12,11
Prospect,RSC004012,kgfan3,Undead,N/A,26.4,23.6,25.0,26,7,19,0.269,1,6374,15,11,17,44,34.09%,245.15,0.58,0.42,0.65,1.69,1,0,0,1,27,24
Prospect,RSC001619,Rob,Gloom,N/A,21.2,27.7,24.5,24,8,16,0.333,3,7283,16,5,37,45,35.56%,303.46,0.67,0.21,1.54,1.88,2,1,0,4,11,23
Prospect,RSC000253,musah,Khans,N/A,17.8,27.4,22.6,32,15,17,0.469,2,8478,18,8,30,70,25.71%,264.94,0.56,0.25,0.94,2.19,1,0,0,3,45,25
Prospect,RSC001820,YourEvilTwin,Tic Tacs,N/A,19.4,20.9,20.1,27,13,14,0.481,1,7547,12,13,32,43,27.91%,279.52,0.44,0.48,1.19,1.59,3,0,0,4,91,15
Prospect,RSC006416,StaRazor,Principales,N/A,29.6,8.6,19.1,15,4,11,0.267,2,4099,6,6,19,17,35.29%,273.27,0.40,0.40,1.27,1.13,1,0,0,0,11,19
Prospect,RSC004879,DefNotMongo.,Khans,N/A,25.7,9.3,17.5,9,2,7,0.222,0,2553,2,6,16,8,25.00%,283.67,0.22,0.67,1.78,0.89,0,0,1,4,5,12
Prospect,RSC007929,Leaux Mane,Blacktips,N/A,18.4,3.1,10.8,4,0,4,0.000,0,1127,2,1,6,5,40.00%,281.75,0.50,0.25,1.50,1.25,0,0,0,1,3,0
Prospect,RSC005252,MysticMax07,Gloom,N/A,-13.6,-28.3,-21.0,2,0,2,0.000,0,302,0,0,1,2,0.00%,151.00,,,0.50,1.00,0,0,0,0,0,1
Prospect,RSC008002,majorpilots,Gloom,N/A,-47.5,-39.6,-43.6,4,1,3,0.250,0,418,0,1,1,2,0.00%,104.50,,0.25,0.25,0.50,0,0,0,0,8,6
Rival,RSC007482,MyTyranosaur,50 Cent,Solar,99.2,119.4,109.3,36,18,18,0.500,13,18062,55,28,60,148,37.16%,501.72,1.53,0.78,1.67,4.11,14,7,1,9,35,48
Rival,RSC005702,Jaegie,Iris,Lunar,84.8,110.1,97.5,34,29,5,0.853,12,14109,46,29,33,120,38.33%,414.97,1.35,0.85,0.97,3.53,10,5,2,4,27,35
Rival,RSC002480,blizzyy,Iris,Lunar,86.1,97.6,91.9,40,34,6,0.850,14,16101,38,46,49,115,33.04%,402.53,0.95,1.15,1.23,2.88,12,4,4,8,48,44
